ticks,ETH-30SEP22,ETH-PERPETUAL,ETH-24JUN22,spread,moving_average,moving_std_dev,upper_band,lower_band,long_entry,long_exit,short_entry,short_exit,positions_long,positions_short,long_sl,positions_long_sl,short_sl,positions_short_sl,positions,spread_diff,portfolio_value,daily_returns,strategy_returns,fresh_entry,fresh_exit,one_way_fee,net_strategy_returns,cumret
1632508200000,3098.65,2893.5,3040.1,-5.568999999999505,-11.42242499999993,31.93628135846811,52.4501377169363,-75.29498771693615,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,5.899000000000342,7533.879,0.0007795650611071624,0.0,False,False,0.0,0.0,1.0
1632510000000,3098.75,2906.3,3050.75,-15.730999999999767,-17.411649999999916,16.772555143902945,16.133460287805974,-50.95676028780581,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,-10.162000000000262,7550.129,-0.001348840351696684,-0.0,False,False,0.0,0.0,1.0
1632511800000,3090.45,2902.85,3048.65,-22.220500000000357,-15.981874999999922,14.888078635071754,13.794282270143585,-45.75803227014343,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-6.489500000000589,7538.4315,-0.0008595217379730319,-0.0,False,False,0.0,0.0,1.0
1632513600000,3126.6,2922.7,3068.45,-6.056999999999789,-13.473824999999897,11.619389231474237,9.764953462948577,-36.71260346294837,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,16.163500000000568,7603.699,0.0021441462988687457,0.0,False,False,0.0,0.0,1.0
1632515400000,3153.6,2946.0,3103.0,-16.539999999999964,-13.435124999999925,11.607208394236595,9.779291788473266,-36.649541788473115,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-10.483000000000175,7678.9,-0.0013786710915306057,-0.0,False,False,0.0,0.0,1.0
1632517200000,3172.85,2974.4,3124.5,-17.41800000000012,-11.738599999999929,7.541791617729993,3.3449832354600577,-26.822183235459917,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-0.8780000000001564,7731.342000000001,-0.00011433929338839632,-0.0,False,False,0.0,0.0,1.0
1632519000000,3152.45,2960.5,3122.75,-38.845000000000255,-13.29322499999994,9.600505867257048,5.907786734514158,-32.49423673451403,True,False,False,True,1.0,0.0,False,1.0,False,1.0,1.0,-21.427000000000135,7705.575,-0.0027714464060702697,-0.0,True,False,-0.0015,-0.0015,0.9985
1632520800000,3152.9,2947.05,3097.85,-10.612499999999727,-12.172274999999946,8.409520775311497,4.646766550623049,-28.99131655062294,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,28.232500000000528,7672.0555,0.0036639056786807642,0.0036639056786807642,False,True,-0.0015,0.002163905678680764,1.0006606598201628
1632522600000,3164.7,2957.55,3107.25,-8.053499999999985,-12.451599999999939,8.159244835090345,3.8668896701807505,-28.770089670180628,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,2.5589999999997417,7697.9265,0.00033354816059395575,0.0,False,False,0.0,0.0,1.0006606598201628
1632524400000,3146.15,2945.35,3093.25,-12.04950000000008,-12.723874999999953,8.043882390846113,3.363889781692272,-28.81163978169218,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,-3.9960000000000946,7659.2105,-0.0005191008253976047,-0.0,False,False,0.0,0.0,1.0006606598201628
1632526200000,3117.45,2929.3,3071.4,-17.347000000000207,-12.899399999999968,8.10748843029514,3.315576860590312,-29.114376860590248,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-5.297500000000127,7599.725,-0.0006916509214624833,-0.0,False,False,0.0,0.0,1.0006606598201628
1632528000000,3153.4,2934.9,3094.5,-8.752999999999702,-13.202799999999934,7.813327476009831,2.4238549520197274,-28.829454952019596,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,8.594000000000506,7665.607,0.0011308303918892467,0.0,False,False,0.0,0.0,1.0006606598201628
