,front_leg,mid_leg,back_leg,tf,ROI,lookback,std_dev,front_vector,middle_vector,back_vector
45,ETH-28JAN22,ETH-24JUN22,BTC-24JUN22,360,0.9938515487564731,20,2,1.0,-0.96,0.0
46,ETH-28JAN22,ETH-24JUN22,BTC-24JUN22,720,0.9994013669682491,20,2,1.0,-0.94,-0.0
47,ETH-28JAN22,ETH-24JUN22,BTC-7JAN22,15,0.9590595091854137,20,2,1.0,-0.91,-0.0
48,ETH-28JAN22,ETH-24JUN22,BTC-7JAN22,30,0.9842210377561501,20,2,1.0,-0.93,-0.0
49,ETH-28JAN22,ETH-24JUN22,BTC-7JAN22,60,0.985731321072802,20,2,1.0,-1.0,-0.0
50,ETH-28JAN22,ETH-24JUN22,BTC-7JAN22,120,0.9970381767994869,20,2,1.0,-0.97,-0.0
51,ETH-28JAN22,ETH-24JUN22,BTC-7JAN22,180,0.9730841358867092,20,2,1.0,0.75,-0.01
52,ETH-28JAN22,ETH-24JUN22,BTC-30SEP22,15,0.9205552523821998,20,2,1.0,-0.96,0.0
53,ETH-28JAN22,ETH-24JUN22,BTC-30SEP22,30,0.9683774736536017,20,2,1.0,-0.96,0.0
54,ETH-28JAN22,ETH-24JUN22,BTC-30SEP22,60,0.9789292334921599,20,2,1.0,-0.96,0.0
55,ETH-28JAN22,ETH-24JUN22,BTC-30SEP22,120,0.9859460445170274,20,2,1.0,-0.96,0.0
56,ETH-28JAN22,ETH-24JUN22,BTC-30SEP22,180,0.9934675032129759,20,2,1.0,-0.95,0.0
57,ETH-28JAN22,ETH-24JUN22,BTC-30SEP22,360,0.9938515487564731,20,2,1.0,-0.96,0.0
58,ETH-28JAN22,ETH-24JUN22,BTC-30SEP22,720,0.9994013669682491,20,2,1.0,-0.94,-0.0
59,ETH-28JAN22,ETH-24JUN22,BTC-PERPETUAL,15,0.9205552523821998,20,2,1.0,-0.96,0.0
60,ETH-28JAN22,ETH-24JUN22,BTC-PERPETUAL,30,0.9683774736536017,20,2,1.0,-0.96,0.0
61,ETH-28JAN22,ETH-24JUN22,BTC-PERPETUAL,60,0.9876064838755578,20,2,1.0,-0.95,0.0
62,ETH-28JAN22,ETH-24JUN22,BTC-PERPETUAL,120,0.9859460445170274,20,2,1.0,-0.96,0.0
63,ETH-28JAN22,ETH-24JUN22,BTC-PERPETUAL,180,0.9934675032129759,20,2,1.0,-0.95,0.0
64,ETH-28JAN22,ETH-24JUN22,BTC-PERPETUAL,360,0.9938515487564731,20,2,1.0,-0.96,0.0
65,ETH-28JAN22,ETH-24JUN22,BTC-PERPETUAL,720,0.9994013669682491,20,2,1.0,-0.94,-0.0
66,ETH-28JAN22,ETH-25MAR22,ETH-30SEP22,15,0.8981842141547995,20,2,1.0,-1.25,0.27
67,ETH-28JAN22,ETH-25MAR22,ETH-30SEP22,30,0.9718376389441578,20,2,1.0,-1.2,0.22
68,ETH-28JAN22,ETH-25MAR22,ETH-30SEP22,60,0.9781614445708627,20,2,1.0,-1.2,0.23
69,ETH-28JAN22,ETH-25MAR22,ETH-30SEP22,120,0.9932216800998885,20,2,1.0,-1.27,0.28
70,ETH-28JAN22,ETH-25MAR22,ETH-30SEP22,180,0.9852454269968046,20,2,1.0,-1.19,0.22
71,ETH-28JAN22,ETH-25MAR22,ETH-30SEP22,360,0.9963288708283515,20,2,1.0,-1.34,0.35
72,ETH-28JAN22,ETH-25MAR22,ETH-30SEP22,720,0.999034624397809,20,2,1.0,-0.92,-0.04
73,ETH-28JAN22,ETH-25MAR22,ETH-7JAN22,15,0.9536374427035819,20,2,1.0,-0.87,-0.11
74,ETH-28JAN22,ETH-25MAR22,ETH-7JAN22,30,0.9826739544513459,20,2,1.0,-0.6,-0.39
75,ETH-28JAN22,ETH-25MAR22,ETH-7JAN22,60,0.9899876006699146,20,2,1.0,-1.1,0.1
76,ETH-28JAN22,ETH-25MAR22,ETH-7JAN22,120,0.9917187214871981,20,2,1.0,-1.22,0.22
77,ETH-28JAN22,ETH-25MAR22,ETH-7JAN22,180,0.9946602665472589,20,2,1.0,-2.19,0.91
78,ETH-28JAN22,ETH-25MAR22,ETH-PERPETUAL,15,0.9207300850780964,20,2,1.0,-0.79,-0.19
79,ETH-28JAN22,ETH-25MAR22,ETH-PERPETUAL,30,0.9789153171843332,20,2,1.0,-0.8,-0.18
80,ETH-28JAN22,ETH-25MAR22,ETH-PERPETUAL,60,0.9943747473579976,20,2,1.0,-0.83,-0.16
81,ETH-28JAN22,ETH-25MAR22,ETH-PERPETUAL,120,0.9906347701871454,20,2,1.0,-0.84,-0.15
82,ETH-28JAN22,ETH-25MAR22,ETH-PERPETUAL,180,0.9945067925777733,20,2,1.0,-0.81,-0.17
83,ETH-28JAN22,ETH-25MAR22,ETH-PERPETUAL,360,0.9945958877606442,20,2,1.0,-0.77,-0.22
84,ETH-28JAN22,ETH-25MAR22,ETH-PERPETUAL,720,0.9971872865289917,20,2,1.0,-0.87,-0.1
85,ETH-28JAN22,ETH-25MAR22,BTC-25MAR22,15,0.9390467539806144,20,2,1.0,-0.97,0.0
86,ETH-28JAN22,ETH-25MAR22,BTC-25MAR22,30,0.9886258127748049,20,2,1.0,-0.97,0.0
