ticks,ETH-30SEP22,ETH-24JUN22,ETH-PERPETUAL,spread,moving_average,moving_std_dev,upper_band,lower_band,long_entry,long_exit,short_entry,short_exit,positions_long,positions_short,long_sl,positions_long_sl,short_sl,positions_short_sl,positions,spread_diff,portfolio_value,daily_returns,strategy_returns,fresh_entry,fresh_exit,one_way_fee,net_strategy_returns,cumret
1632508200000,3098.65,3040.1,2893.5,-5.568999999999619,-11.422424999999976,31.936281358468122,52.45013771693627,-75.29498771693622,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,5.899000000000228,7533.879,0.0007795650611071473,0.0,False,False,0.0,0.0,1.0
1632510000000,3098.75,3050.75,2906.3,-15.730999999999767,-17.41164999999997,16.772555143902906,16.133460287805843,-50.95676028780578,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,-10.162000000000148,7550.129000000001,-0.001348840351696669,-0.0,False,False,0.0,0.0,1.0
1632511800000,3090.45,3048.65,2902.85,-22.220500000000243,-15.981874999999969,14.88807863507171,13.79428227014345,-45.75803227014339,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-6.489500000000476,7538.4315,-0.0008595217379730167,-0.0,False,False,0.0,0.0,1.0
1632513600000,3126.6,3068.45,2922.7,-6.056999999999789,-13.473824999999954,11.619389231474234,9.764953462948514,-36.71260346294842,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,16.163500000000454,7603.698999999999,0.002144146298868731,0.0,False,False,0.0,0.0,1.0
1632515400000,3153.6,3103.0,2946.0,-16.53999999999985,-13.435124999999971,11.60720839423659,9.77929178847321,-36.64954178847315,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-10.483000000000061,7678.9,-0.001378671091530591,-0.0,False,False,0.0,0.0,1.0
1632517200000,3172.85,3124.5,2974.4,-17.41800000000012,-11.738599999999968,7.541791617729963,3.3449832354599582,-26.822183235459896,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-0.8780000000002701,7731.342,-0.00011433929338841112,-0.0,False,False,0.0,0.0,1.0
1632519000000,3152.45,3122.75,2960.5,-38.84500000000014,-13.29322499999996,9.60050586725701,5.907786734514058,-32.494236734513976,True,False,False,True,1.0,0.0,False,1.0,False,1.0,1.0,-21.42700000000002,7705.575,-0.0027714464060702554,-0.0,True,False,-0.0015,-0.0015,0.9985
1632520800000,3152.9,3097.85,2947.05,-10.612499999999727,-12.172274999999962,8.409520775311442,4.646766550622923,-28.991316550622848,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,28.232500000000414,7672.0555,0.0036639056786807495,0.0036639056786807495,False,True,-0.0015,0.0021639056786807494,1.0006606598201628
1632522600000,3164.7,3107.25,2957.55,-8.053499999999872,-12.451599999999939,8.159244835090304,3.8668896701806688,-28.770089670180546,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,2.5589999999998554,7697.9265,0.0003335481605939706,0.0,False,False,0.0,0.0,1.0006606598201628
1632524400000,3146.15,3093.25,2945.35,-12.049499999999966,-12.723874999999946,8.043882390846072,3.3638897816921975,-28.81163978169209,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,-3.9960000000000946,7659.210500000001,-0.0005191008253976047,-0.0,False,False,0.0,0.0,1.0006606598201628
1632526200000,3117.45,3071.4,2929.3,-17.347000000000207,-12.899399999999963,8.1074884302951,3.3155768605902356,-29.114376860590163,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-5.297500000000241,7599.725,-0.000691650921462498,-0.0,False,False,0.0,0.0,1.0006606598201628
1632528000000,3153.4,3094.5,2934.9,-8.752999999999702,-13.20279999999994,7.813327476009773,2.4238549520196067,-28.829454952019486,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,8.594000000000506,7665.607,0.0011308303918892467,0.0,False,False,0.0,0.0,1.0006606598201628
1632529800000,3134.95,3093.2,2945.95,-23.049499999999966,-14.07502499999993,7.8937985177490315,1.7125720354981322,-29.862622035497992,False,False,False,True,0.0,0.0,False,1.0,False,1.0,0.0,-14.296500000000265,7648.0865,-0.001865018647577454,-0.0,False,False,0.0,0.0,1.0006606598201628
1632531600000,3075.7,3025.15,2883.65,-12.24650000000031,-14.520249999999937,7.497754813942722,0.4752596278855066,-29.51575962788538,False,True,False,False,0.0,0.0,False,1.0,False,1.0,0.0,10.802999999999656,7490.1255,0.0014125101749306386,0.0,False,False,0.0,0.0,1.0006606598201628
