ticks,cumret
1632508200000,1.0
1632510000000,1.0
1632511800000,1.0
1632513600000,1.0
1632515400000,1.0
1632517200000,1.0
1632519000000,0.9985
1632520800000,1.0006606598201628
1632522600000,1.0006606598201628
1632524400000,1.0006606598201628
1632526200000,1.0006606598201628
1632528000000,1.0006606598201628
1632529800000,1.0006606598201628
1632531600000,1.0006606598201628
1632533400000,1.0006606598201628
1632535200000,1.0006606598201628
1632537000000,1.0006606598201628
1632538800000,1.0006606598201628
1632540600000,1.0006606598201628
1632542400000,1.0006606598201628
1632544200000,1.0006606598201628
1632546000000,1.0006606598201628
1632547800000,1.0006606598201628
1632549600000,1.0006606598201628
1632551400000,1.0006606598201628
1632553200000,1.0006606598201628
1632555000000,1.0006606598201628
1632556800000,1.0006606598201628
1632558600000,0.9991596688304326
1632560400000,1.0032327824870466
1632562200000,1.0025956901756334
1632564000000,1.0025956901756334
1632565800000,1.0025956901756334
1632567600000,1.0025956901756334
1632569400000,1.0025956901756334
1632571200000,1.0025956901756334
1632573000000,1.0025956901756334
1632574800000,1.0025956901756334
1632576600000,1.0025956901756334
1632578400000,1.0025956901756334
1632580200000,1.0025956901756334
1632582000000,1.0025956901756334
1632583800000,1.0025956901756334
1632585600000,1.0025956901756334
1632587400000,1.0025956901756334
1632589200000,1.0025956901756334
1632591000000,1.0025956901756334
1632592800000,1.0025956901756334
1632594600000,1.0025956901756334
1632596400000,1.0025956901756334
1632598200000,1.0025956901756334
1632600000000,1.0025956901756334
1632601800000,1.0025956901756334
1632603600000,1.0025956901756334
1632605400000,1.0025956901756334
1632607200000,1.0025956901756334
1632609000000,1.0025956901756334
1632610800000,1.0025956901756334
1632612600000,1.0025956901756334
1632614400000,1.0025956901756334
1632616200000,1.0025956901756334
1632618000000,1.0025956901756334
1632619800000,1.0025956901756334
1632621600000,1.0025956901756334
1632623400000,1.0025956901756334
1632625200000,1.0025956901756334
1632627000000,1.0025956901756334
1632628800000,1.0025956901756334
1632630600000,1.0025956901756334
1632632400000,1.0025956901756334
1632634200000,1.0025956901756334
1632636000000,1.0025956901756334
1632637800000,1.0025956901756334
1632639600000,1.0025956901756334
1632641400000,1.0025956901756334
1632643200000,1.0025956901756334
1632645000000,1.0025956901756334
1632646800000,1.0025956901756334
1632648600000,1.0025956901756334
1632650400000,1.00109179664037
1632652200000,1.001859687506901
1632654000000,1.0001815658295614
1632655800000,1.0036443071913348
1632657600000,1.003799831134555
1632659400000,1.003799831134555
